Unnamed: 0,ID,Name,Summary,Videos,Series,Channel,Thumbnail,Video_ids
0,189,David Jackmans' Preaching & Teaching Course,,"['Teaching NT Gospels: Introduction', 'Teaching NT Gospels 1: Nature of the Gospels', 'Teaching NT Gospels 2: Distinctive Features ', 'Teaching NT Gospels 3: Types of Literature (Part 1)', 'Teaching NT Gospels 3: Types of Literature (Part 2)', 'Teaching NT Gospels 3: Types of Literature (Part 3)', 'Teaching NT Gospels 3: Types of Literature (Part 4)', 'Teaching NT Gospels 4: Avoiding Pitfalls', 'Teaching NT Gospels 2: Distinctive Features - Worked Example', 'Teaching NT Gospels 3: Types of Literature - Worked Example (Part 1) ', 'Teaching NT Gospels 3: Types of Literature - Worked Example (Part 2) ', 'Teaching NT Gospels 3: Types of Literature - Worked Example (Part 3) ', 'Teaching NT Gospels 3: Types of Literature - Worked Example (Part 4) ', 'Teaching NT Gospels 4: Avoiding Pitfalls - Worked Example', 'Teaching NT Letters: Introduction', 'Teaching NT Letters 1: The Letter as a Whole', 'Teaching NT Letters 2: The Detail (Part 1)', 'Teaching NT Letters 2: The Detail (Part 2)', 'Teaching NT Letters 3: Revisiting Contexts (Part 1)', 'Teaching NT Letters 4: Applying to Today', 'Teaching NT Letters 1: The Letter as a Whole - Worked Example', 'Teaching NT Letters 2: The Detail - Worked Example', 'Teaching NT Letters 3: Revisiting Contexts - Worked Example (Part 1)', 'Teaching NT Letters 3: Revisiting Contexts - Worked Example (Part 2)', 'Teaching NT Letters 3: Revisiting Contexts - Worked Example (Part 3)', 'Teaching NT Letters 2: The Detail (Part 3)', 'Teaching NT Letters 3: Revisiting Contexts (Part 2)', 'Teaching NT Acts & Revelation: Introduction to Revelation', 'Teaching NT Acts & Revelation: Apocalyptic Writing and Revelation - Worked Example', 'Teaching NT Acts & Revelation: Acts', 'Teaching NT Acts & Revelation: Acts - Worked Example', 'Teaching OT Poetry: Introduction', 'Teaching OT Poetry 1: Structure ', 'Teaching OT Poetry 2: Content (Part 1)', 'Teaching OT Poetry 2: Content (Part 2)', 'Teaching OT Poetry 3: Original & Contemporary Contexts', 'Teaching OT Poetry 4: Psalms', 'Teaching OT Poetry 4: Psalms of Praise', 'Teaching OT Poetry 4: Psalms of Lament', 'Teaching OT Poetry 4: Psalms of Thanksgiving', 'Teaching OT Poetry 5: Psalms through the NT (Part 1)', 'Teaching OT Poetry 5: Psalms through the NT (Part 2)', 'Teaching OT Poetry 1: Structure - Worked Example', 'Teaching OT Poetry 2: Content - Worked Example', 'Teaching OT Poetry 3: Original & Contemporary Contexts - Worked Example', 'Teaching OT Poetry 4: Psalms of Praise - Worked Example', 'Teaching OT Poetry 4: Psalms of Lament - Worked Example', 'Teaching OT Poetry 4: Psalms of Thanksgiving - Worked Example', 'Teaching OT Poetry 5: Psalms through the NT - Worked Example', 'Teaching OT Narrative 1: Interpreting (Part 1)', 'Teaching OT Narrative 1: Interpreting (Part 2)', 'Teaching OT Narrative 2: How Stories Work (Part 1)', 'Teaching OT Narrative 2: How Stories Work (Part 2)', 'Teaching OT Narrative 3: Context (Part 1)', 'Teaching OT Narrative 3: Context (Part 2)', 'Teaching OT Narrative 4: Preaching (Part 1)', 'Teaching OT Narrative 4: Preaching (Part 2)', 'Teaching OT Narrative 4: Preaching (Part 3)', 'Teaching OT Narrative 4: Preaching (Part 4)', 'Teaching OT Narrative 1: Interpreting - Worked Example', 'Teaching OT Narrative 2: How Stories Work - Worked Example', 'Teaching OT Narrative 3: Context - Worked Example', 'Teaching OT Narrative 4: Preaching - Worked Example', 'Teaching OT Prophecy 1: Introduction', 'Teaching OT Prophecy 2: Predictive Ingredient', 'Teaching OT Prophecy 3: Literary Characteristics (Part 1)', 'Teaching OT Prophecy 3: Literary Characteristics (Part 2)', 'Teaching OT Prophecy 3: Literary Characteristics (Part 3)', 'Teaching OT Prophecy 4: Interpreting - Reference Points of Fulfillment (Part 1)', 'Teaching OT Prophecy 4: Interpreting - Reference Points of Fulfillment (Part 2)', 'Teaching OT Prophecy 5: Applying Prophecy (Part 1)', 'Teaching OT Prophecy 5: Applying Prophecy (Part 2)', 'Teaching OT Prophecy 1: Introduction - Worked Example', 'Teaching OT Prophecy 2: Predictive Ingredient - Worked Example', 'Teaching OT Prophecy 3: Literary Characteristics - Worked Example', 'Teaching OT Prophecy 4: Interpreting - Reference Points of Fulfillment - Worked Example', 'Teaching OT Prophecy 5: Applying Prophecy - Worked Example', 'Teaching OT Wisdom Literature 1: Introduction', 'Teaching OT Wisdom Literature 2: Characteristics', 'Teaching OT Wisdom Literature 3: Proverbs (Part 1)', 'Teaching OT Wisdom Literature 3: Proverbs (Part 2)', 'Teaching OT Wisdom Literature 4: Job & Ecclesiastes', 'Teaching OT Wisdom Literature 1: Introduction - Worked Example', 'Teaching OT Wisdom Literature 2: Characteristics - Worked Example', 'Teaching OT Wisdom Literature 3: Proverbs - Worked Example (Part 1)', 'Teaching OT Wisdom Literature 3: Proverbs - Worked Example (Part 2)', 'Teaching OT Wisdom Literature 3: Proverbs - Worked Example (Part 3)', 'Teaching OT Wisdom Literature 4: Job & Ecclesiastes - Worked Example', 'Preaching & Teaching: Introduction to the Proclamation Trust', 'Preaching and Teaching: Course Introduction']","How to Teach the New Testament,Gospels: Nature, Distinctive Features, Literary Types, Pitfalls,How to Teach the New Testament,Letters: The Whole, The Details, Contexts, Application,How to Teach the New Testament,Revelation & Acts: Overview, Apocalyptic Writing,How to Teach the Old Testament,Hebrew Poetry: Structure, Content, Psalms,How to Teach the Old Testament,Narrative: Interpretation, How Stories Work, Using Context,How to Teach the Old Testament,Prophecy: Predictive & Literary Features, Interpretation, Application,How to Teach the Old Testament,Wisdom: Characteristics, Proverbs, Job & Eccelsiastes,Introductions",,,"1380,1381,1382,1383,1384,1385,1386,1387,1393,1394,1395,1396,1397,1398,1399,1400,1401,1402,1403,1404,1405,1406,1407,1408,1409,1413,1414,1388,1389,1390,1391,1392,1450,1451,1452,1453,1454,1455,1456,1457,1458,1459,1460,1461,1462,1463,1464,1465,1466,1467,1468,1469,1470,1471,1472,1473,1474,1475,1476,1477,1478,1479,1480,1481,1425,1426,1427,1428,1429,1430,1431,1432,1433,1434,1435,1436,1437,1438,1439,1440,1441,1442,1443,1444,1445,1446,1447,1448,1449,1410,1411"
1,260,Katoomba Christian Convention,,"['Oxygen 2014: Paul Tripp: Gospel Communication 101 - What Makes a Good Sermon Good? [Part II]', 'Oxygen 2014: Paul Tripp: Dangerous Calling', 'Oxygen 2014: Bob Kauflin: Gathering Around the Gospel', 'Oxygen 2014: Bob Kauflin: Foundations for Worship', 'Oxygen 2014: Bryan Chapell: How People Change - Preaching for Redemptive Transformation', 'Oxygen 2014: Paul Tripp: Gospel Communication 101 - What Makes a Good Sermon Good? [Part I]', 'Oxygen 2014: John Lennox: Suffering & the God Question', ""Oxygen 2014: Francis Chan: For Those Who Don't Enjoy Evangelism"", 'Oxygen 2014: Don Carson: I am the Bread of Life', 'Oxygen 2014: Bryan Chapell: I am the Son of God', 'Oxygen 2014: Don Carson: I am the First and the Last', 'Oxygen 2014: Paul Tripp: I am the Light of the World', 'Oxygen 2014: John Lennox: I am the Way, the Truth and the Life', 'Oxygen 2014: Bryan Chapell: I am the Resurrection and the Life', 'Oxygen 2014: Francis Chan: I am the Good Shepherd', 'Oxygen 2014: John Lennox: The Word Became Flesh', 'Oxygen 2014: Francis Chan: I am the True Vine']","Oxygen 2014,Breakout Sessions,Oxygen 2014,Main Sessions",,,"1803,1807,1816,1817,1818,1820,1821,1822,1804,1806,1808,1809,1810,1811,1812,1813,1814"
2,270,Richard Coekin: Talks on The Lord's Prayer,,"[""Richard Coekin: 'Our Father' Part 1"", ""Richard Coekin: 'Our Father' Part 2"", ""Richard Coekin: 'Our Father' Part 3""]",Richard Coekin: Talks on The Lord's Prayer,,,"1950,1951,1952"
3,1167,John Wyatt Explores Death and Suffering,,"['Ethical Dilemmas in End of Life Care: Dementia, Death and Dying', ""Responding to Suffering and Evil in God's World""]",John Wyatt Explores Death and Suffering,,,"2708,2709"
4,1380,Changing Lanes - Evangelistic Course,,"['Changing Lanes Course - Episode 1: Taken for a Ride', ""Changing Lanes Course - Episode 2: It's a Sign"", 'Changing Lanes Course - Episode 3: Dodgy Steering', 'Changing Lanes Course - Episode 4: Collision Course', 'Changing Lanes Course - Episode 5: Hitting the Brakes', 'Changing Lanes Course - Episode 6: Green Light to God', 'Changing Lanes Course - Episode 7: Into Gear']",Changing Lanes - Evangelistic Course,,,"3624,3625,3626,3627,3628,3629,3630"
5,1615,Jesmond Partnership Church Conferences,,"[""20s & 30s Conference '20: Talk 1 The Paradox of the Cross with Santosh Thomas"", ""20s & 30s Conference '20: Talk 2 The Power of Cross-shaped Love with Santosh Thomas"", ""JPC Men's Conference '15: Session 1- The Mission of Jesus"", ""JPC Men's Conference '15: Session 2- The Method of Jesus "", ""JPC SJB HTG Men's Conference '17 - Contending for Truth: Why and How?"", ""JPC SJB HTG Men's Conference '17 - Contending for Truth: The Challenge of Contending"", ""JPC Men's Conference '19 - A Steadfast Man"", 'A Weekend on Singleness & Marriage: 3 Starting Points - Talk 1', '1 Corinthians 7 - A Weekend on Singleness & Marriage: Singleness - Talk 3', 'A Weekend on Singleness & Marriage: Seeking Marriage - Talk 4', 'Genesis 2 - A Weekend on Singleness & Marriage: Marriage - Talk 2', 'Christianity is Christ: 1 John 1: 1-4 - A Weekend on… Christianity - Talk 1', 'New Direction, new Confession: 1 John 1:5 - 2:2 - A Weekend on… Christianity - Talk 2', 'New Lordship, new Love: 1 John 2: 3-11 - A Weekend on… Christianity - Talk 3', 'New Assurance, new Allegiance: 1 John 2: 12-27 - A Weekend on… Christianity - Talk 4', 'How to get Right With God - A Weekend on... the Cross: Romans 1-6 - Talk 1', 'Trusting in the cross - A Weekend on... the Cross: Romans 1-6 - Talk 2', 'Living out Our Justification - A Weekend on... the Cross: Romans 1-6 - Talk 4', 'Believing & Rejoicing in Justification - A Weekend on... the Cross: Romans 1-6 - Talk 3', ""Jesmond Partnership Women's Conference '16: Part 1 God's Love for God"", ""Jesmond Partnership Women's Conference '16: Part 2 God's Love for Us"", ""Jesmond Partnership Women's Conference '18: Interview with Caz Dodds"", ""Jesmond Partnership Women's Conference '18: Psalm 33""]","20s & 30s Conferences,20s & 30s Conference '20 - Look to the Cross,Men's Conferences,Men's Conference '15 - Graham Daniels on Evangelism,Men's Conferences,Men's Conference '17 - Contending for Truth,Men's Conferences,Men's Conference '19 - Steadfast,Student Conferences - A Weekend on...,A Weekend on Singleness & Marriage in the Service of God,Student Conferences - A Weekend on...,A Weekend on... Christianity: Is Yours the Real Thing?,Student Conferences - A Weekend on...,A Weekend on... the Cross: Romans 1-6,Women's Conferences,Women's Conference '16 - God's Love,Women's Conferences,Women's Conference '18 - Everyday Joy, for Everyday Life",,,"7149,7150,1715,1716,3048,3049,5703,6410,6411,6412,6413,4180,4181,4182,4183,2119,2120,2121,2122,2462,2463,4755,4756"
6,114,"Christian Institute, UK - Analysis of Current Affairs",,"['2013 CI News Review of the Year', '2014 CI News Review of the Year', '2015 CI News Review of the Year', '2016 CI News Review of the Year', '2017 CI News Review of the Year', '2018 CI News Review of the Year', '2019 CI News Review of the Year', '2020 CI News Review of the Year', '2021 CI News Review of the Year', ""Does 'Political' Involvement Distract From the Gospel?"", ""God's Amazing Grace - The Story of John Newton""]","Christian Institute Year Reviews,Talks - Politics and More",,,"1023,1489,2086,2812,3982,5204,6268,7266,8249,1017,1231"
7,21,Phillip Jensen's 'Ask Phillip' - Short Answers to Big Questions,,"['Ask Phillip - Truth in Postmodern World?', 'Ask Phillip - Evolution or Accident?', 'Ask Phillip - Making Fun of Other Religions?', 'Ask Phillip - The Problem of Evil?', 'Ask Phillip - The Meaning of Faith?', 'Ask Phillip - Christian Men With Long Hair?', 'Ask Phillip - Forgiving Unrepentant People?', 'Ask Phillip - Should Christians Swear?', 'Ask Phillip - Gambling and Alcohol?', 'Ask Phillip - Responding to Lies About Christianity?', 'Ask Phillip - Separation and Divorce?', 'Ask Phillip - Greatest Christian Heroes?', 'Ask Phillip - Responding to Lies About Christianity?', 'Ask Phillip - Should I Lift Hands to Pray?', 'Ask Phillip - Does Prayer Change Things?', 'Ask Phillip - Deceived Whilst Having the Holy Spirit?', 'The Chat Room - Church Planting', 'Ask Phillip - Exorcism?', 'Ask Phillip - Swearing When Preaching?', 'Ask Phillip - Why Are You Anglican?', 'Ask Phillip - Are Ministers Priests?', 'Ask Phillip - No Altar in Your Cathedral?', ""Ask Phillip - The Meaning of 'Church'?"", ""Ask Phillip - The Translation of 'Church'?"", ""Ask Phillip - Was 'Church' a NT Invention?"", ""Ask Phillip - Why 'Gather' to Do Church?"", 'Ask Phillip - Denominational Loyalty?', ""Ask Phillip - Meaning of 'catholic'?"", 'Ask Phillip - Is the Point of Church Worship?', 'Ask Phillip - Is Evangelism the Point of Church?', 'Ask Phillip - Infant Baptism?', 'Ask Phillip - Speaking in Tongues?', ""Ask Phillip - Spiritual Gifts You'd Like to Swap?"", 'Ask Phillip - Church Discipline?', 'Ask Phillip - Preaching from a Script?', 'Ask Phillip - Slaying in the Spirit?', 'Ask Phillip - Saint Mckillop and Miracles?', 'Ask Phillip - Apocalyptic Scripture?', 'Ask Phillip - How to Correctly Interpret the Bible?', 'Ask Phillip - Spiritual Attacks?', 'Ask Phillip - The Relation of Spiritual and Physical?', 'Ask Phillip - Should We Trust Experience?', 'Ask Phillip - Soul, Spirit and Body?', 'Ask Phillip - Preaching from a Script?', 'Ask Phillip - Slaying in the Spirit?', ""Ask Phillip - God's Sovereignty and Preaching?"", 'Ask Phillip - True Faithfulness?', 'Ask Phillip - Baptised in the Spirit?', ""Ask Phillip - Jesus' Miracles?"", 'Ask Phillip - How did Jesus Fulfill Scripture?', ""Ask Phillip - Isn't Jesus' Punishment in our Place Unjust?"", 'Ask Phillip - Why Bother with the 10 Commandments?', ""Ask Phillip - Hardening Pharaoh's Heart?"", ""Ask Phillip - Knowing You're Elect?"", ""Ask Phillip - What About Those Who've Never Heard The Gospel?"", 'Ask Phillip - Given the Holy Spirit Twice?', ""Ask Phillip - 'Hindering Men's Prayers'?"", ""Ask Phillip - Jesus Preaching to 'Spirits in Prison'?""]","Apologetics/Worldview,Christian Life - Life Issues,Christian Life - Spiritual Growth,Church and Church Practices,Interpreting Scripture,The Physical and Spiritual,Theology - God/Christ/Holy Spirit,Theology - Salvation,Tricky Bible Passages",,,"722,821,851,1526,1528,874,880,904,1530,1539,1543,771,1539,1541,1545,1548,649,773,842,872,886,900,907,947,949,956,962,976,978,981,1529,1531,1532,1542,1546,1547,805,1533,1536,809,817,1537,1538,1546,1547,774,831,1527,1534,1535,1544,839,867,869,1525,768,823,1540"
8,1321,Go Chatter - Short Videos to Share,,"[""Easter: What's it all About? - Go Chatter"", 'Can Love Restore Humanity? A Video Essay on Beauty and the Beast - Go Chatter', ""New Lyric Version of 'Tale as Old as Time' from Beauty and the Beast - Go Chatter"", 'Planet Earth: Marred by Sin, Restored by God - Go Chatter', '2016: A Video Review: The Good, the Bad, and the Ugly - Go Chatter', '2016: Some Answers to Questions the Year Posed - Go Chatter', 'Planet Earth: See God in Creation - Go Chatter', 'Remembrance Day: Sacrifice - Go Chatter', ""'The Characters of Christmas' Book: Filmed with Kids - Go Chatter"", ""'The Characters of Christmas' Book: Behind the Scenes Filming - Go Chatter"", 'Are You Ready for Christmas? - Go Chatter', 'The Ex-Terrorist Billie McCurrie, a Testimony - Go Chatter', 'A Christian Olympian Interviewed: Debbie Flood- Go Chatter', ""'We Need a Leader' - True Hope Admist Political Uncertainty - Go Chatter"", 'Our Amazing Designer - Go Chatter', 'Bucket List - Go Chatter', ""The Story of the FA Cup Final Anthem: 'Abide with Me' - Go Chatter"", ""Surprising Facts About the Queen's 90 years - Go Chatter"", 'The Story of Martin Luther: Playmobil Animation - Go Chatter', 'Before I Die I Want to… - Go Chatter', ""Back to School: Don't Be Scared - Go Chatter"", ""The Solution to Life's Problems - Go Chatter"", 'Life to the Full - Go Chatter', 'Avengers Infinity War: Thanos the Mad Titan - Go Chatter (SPOILERS)', ""A Potter's Story - Go Chatter"", ""A Pregnant Mother's Struggle with Cancer - Go Chatter"", '2017: A Video Review: A Year in Search - Go Chatter', 'The Man Upstairs - Go Chatter', ""It's Not Fair - Go Chatter"", 'Go Chatter - LEGO Stop-Motion Short Film - Jonah', 'Go Chatter - LEGO Stop-Motion Short Film - The Paralysed Man', 'Go Chatter - LEGO Stop-Motion Short Film - David and Goliath', 'Go Chatter - LEGO Stop-Motion Short Film - The Good Samaritan', 'Go Chatter - LEGO Stop-Motion Short Film - The Christmas Story ', 'Go Chatter - LEGO Stop-Motion Short Film - The Easter Story']","Go Chatter - Short Videos to Share,Lego Bible Stories",,,"3056,3057,3058,3059,3060,3061,3062,3063,3064,3065,3066,3067,3068,3069,3070,3071,3072,3073,3075,4924,4925,4926,4927,4928,4929,4930,4931,4932,4934,10350,10351,10352,10353,10354,10355"
9,4,Documentaries and Stories,,"['Cloning Humans: Embryonic Stem Cells and Eugenics- A Documentary ', 'Clayton TV- Excellent Bible Teaching for Christians', ""Jesmond Parish Church- A History of God's Work"", 'A Somali Story: I Against My Brother', 'REFORM: Church Unity and the Legislation for Women Bishops', 'Together Transforming Poverty Into Life: Armonia in Mexico', 'David Hamilton - Real Change - Testimony', 'Warren Furman - Real Life, Real World - Testimony', 'Jolene - Real Satisfaction - Testimony', 'Christian Hope during Coronavirus- biblical comfort for the anxious']",Documentaries and Stories,,,"97,191,520,739,983,2066,5035,5037,5045,6452"
