ID,series,video_id,video_name,topic_name,speaker_name,speaker_id,bbook_ids,bbook_names,dates,demographics,Ministry_id,Ministry_name
0,"How to Teach the New Testament,Gospels: Nature, Distinctive Features, Literary Types, Pitfalls","1380,1381,1382,1383,1384,1385,1386,1387,1393,1394,1395,1396,1397,1398","Teaching NT Gospels: Introduction,Teaching NT Gospels 1: Nature of the Gospels,Teaching NT Gospels 2: Distinctive Features,Teaching NT Gospels 3: Types of Literature (Part 1),Teaching NT Gospels 3: Types of Literature (Part 2),Teaching NT Gospels 3: Types of Literature (Part 3),Teaching NT Gospels 3: Types of Literature (Part 4),Teaching NT Gospels 4: Avoiding Pitfalls,Teaching NT Gospels 2: Distinctive Features - Worked Example,Teaching NT Gospels 3: Types of Literature - Worked Example (Part 1),Teaching NT Gospels 3: Types of Literature - Worked Example (Part 2),Teaching NT Gospels 3: Types of Literature - Worked Example (Part 3),Teaching NT Gospels 3: Types of Literature - Worked Example (Part 4),Teaching NT Gospels 4: Avoiding Pitfalls - Worked Example","Bible Interpretation;The Gospel;Preaching and Teaching,Bible Interpretation;Preaching and Teaching;The Gospel","Jackman, David",139,,,"2014-11-25,2014-11-26",adult,189,David Jackmans' Preaching & Teaching Course
1,"How to Teach the New Testament,Letters: The Whole, The Details, Contexts, Application","1399,1400,1401,1402,1403,1404,1405,1406,1407,1408,1409,1413,1414","Teaching NT Letters: Introduction,Teaching NT Letters 1: The Letter as a Whole,Teaching NT Letters 2: The Detail (Part 1),Teaching NT Letters 2: The Detail (Part 2),Teaching NT Letters 3: Revisiting Contexts (Part 1),Teaching NT Letters 4: Applying to Today,Teaching NT Letters 1: The Letter as a Whole - Worked Example,Teaching NT Letters 2: The Detail - Worked Example,Teaching NT Letters 3: Revisiting Contexts - Worked Example (Part 1),Teaching NT Letters 3: Revisiting Contexts - Worked Example (Part 2),Teaching NT Letters 3: Revisiting Contexts - Worked Example (Part 3),Teaching NT Letters 2: The Detail (Part 3),Teaching NT Letters 3: Revisiting Contexts (Part 2)",Bible Interpretation;Preaching and Teaching,"Jackman, David",139,,,"2014-11-26,2014-11-27",adult,189,David Jackmans' Preaching & Teaching Course
2,"How to Teach the New Testament,Revelation & Acts: Overview, Apocalyptic Writing","1388,1389,1390,1391,1392","Teaching NT Acts & Revelation: Introduction to Revelation,Teaching NT Acts & Revelation: Apocalyptic Writing and Revelation - Worked Example,Teaching NT Acts & Revelation: Acts,Teaching NT Acts & Revelation: Acts - Worked Example",Bible Interpretation;Preaching and Teaching,"Jackman, David",139,"66,44","Revelation,Acts",2014-11-25,adult,189,David Jackmans' Preaching & Teaching Course
3,"How to Teach the Old Testament,Hebrew Poetry: Structure, Content, Psalms","1450,1451,1452,1453,1454,1455,1456,1457,1458,1459,1460,1461,1462,1463,1464,1465,1466,1467","Teaching OT Poetry: Introduction,Teaching OT Poetry 1: Structure,Teaching OT Poetry 2: Content (Part 1),Teaching OT Poetry 2: Content (Part 2),Teaching OT Poetry 3: Original & Contemporary Contexts,Teaching OT Poetry 4: Psalms,Teaching OT Poetry 4: Psalms of Praise,Teaching OT Poetry 4: Psalms of Lament,Teaching OT Poetry 4: Psalms of Thanksgiving,Teaching OT Poetry 5: Psalms through the NT (Part 1),Teaching OT Poetry 5: Psalms through the NT (Part 2),Teaching OT Poetry 1: Structure - Worked Example,Teaching OT Poetry 2: Content - Worked Example,Teaching OT Poetry 3: Original & Contemporary Contexts - Worked Example,Teaching OT Poetry 4: Psalms of Praise - Worked Example,Teaching OT Poetry 4: Psalms of Lament - Worked Example,Teaching OT Poetry 4: Psalms of Thanksgiving - Worked Example,Teaching OT Poetry 5: Psalms through the NT - Worked Example",Preaching and Teaching,"Jackman, David",139,19,Psalms,2014-12-11,adult,189,David Jackmans' Preaching & Teaching Course
4,"How to Teach the Old Testament,Narrative: Interpretation, How Stories Work, Using Context","1468,1469,1470,1471,1472,1473,1474,1475,1476,1477,1478,1479,1480,1481","Teaching OT Narrative 1: Interpreting (Part 1),Teaching OT Narrative 1: Interpreting (Part 2),Teaching OT Narrative 2: How Stories Work (Part 1),Teaching OT Narrative 2: How Stories Work (Part 2),Teaching OT Narrative 3: Context (Part 1),Teaching OT Narrative 3: Context (Part 2),Teaching OT Narrative 4: Preaching (Part 1),Teaching OT Narrative 4: Preaching (Part 2),Teaching OT Narrative 4: Preaching (Part 3),Teaching OT Narrative 4: Preaching (Part 4),Teaching OT Narrative 1: Interpreting - Worked Example,Teaching OT Narrative 2: How Stories Work - Worked Example,Teaching OT Narrative 3: Context - Worked Example,Teaching OT Narrative 4: Preaching - Worked Example",Preaching and Teaching,"Jackman, David",139,"61,9,2,19,19 58,12 14","2 Peter,1 Samuel,Exodus,Psalms,Psalms Hebrews,2 Kings 2 Chronicles",2014-12-12,adult,189,David Jackmans' Preaching & Teaching Course
5,"How to Teach the Old Testament,Prophecy: Predictive & Literary Features, Interpretation, Application","1425,1426,1427,1428,1429,1430,1431,1432,1433,1434,1435,1436,1437,1438","Teaching OT Prophecy 1: Introduction,Teaching OT Prophecy 2: Predictive Ingredient,Teaching OT Prophecy 3: Literary Characteristics (Part 1),Teaching OT Prophecy 3: Literary Characteristics (Part 2),Teaching OT Prophecy 3: Literary Characteristics (Part 3),Teaching OT Prophecy 4: Interpreting - Reference Points of Fulfillment (Part 1),Teaching OT Prophecy 4: Interpreting - Reference Points of Fulfillment (Part 2),Teaching OT Prophecy 5: Applying Prophecy (Part 1),Teaching OT Prophecy 5: Applying Prophecy (Part 2),Teaching OT Prophecy 1: Introduction - Worked Example,Teaching OT Prophecy 2: Predictive Ingredient - Worked Example,Teaching OT Prophecy 3: Literary Characteristics - Worked Example,Teaching OT Prophecy 4: Interpreting - Reference Points of Fulfillment - Worked Example,Teaching OT Prophecy 5: Applying Prophecy - Worked Example","Bible Interpretation;Bible Interpretation;Preaching and Teaching,Preaching and Teaching;Bible Interpretation","Jackman, David",139,"30,33,23 42,23 26","Amos,Micah,Isaiah Luke,Isaiah Ezekiel",2014-12-11,adult,189,David Jackmans' Preaching & Teaching Course
6,"How to Teach the Old Testament,Wisdom: Characteristics, Proverbs, Job & Eccelsiastes","1439,1440,1441,1442,1443,1444,1445,1446,1447,1448,1449","Teaching OT Wisdom Literature 1: Introduction,Teaching OT Wisdom Literature 2: Characteristics,Teaching OT Wisdom Literature 3: Proverbs (Part 1),Teaching OT Wisdom Literature 3: Proverbs (Part 2),Teaching OT Wisdom Literature 4: Job & Ecclesiastes,Teaching OT Wisdom Literature 1: Introduction - Worked Example,Teaching OT Wisdom Literature 2: Characteristics - Worked Example,Teaching OT Wisdom Literature 3: Proverbs - Worked Example (Part 1),Teaching OT Wisdom Literature 3: Proverbs - Worked Example (Part 2),Teaching OT Wisdom Literature 3: Proverbs - Worked Example (Part 3),Teaching OT Wisdom Literature 4: Job & Ecclesiastes - Worked Example","Bible Interpretation;Preaching and Teaching,Bible Interpretation;Discipleship;Preaching and Teaching,Bible Interpretation;Preaching and Teaching;Discipleship,Discipleship;Preaching and Teaching,Preaching and Teaching;Discipleship","Jackman, David",139,"20,18 21","Proverbs,Job Ecclesiastes",2014-12-11,adult,189,David Jackmans' Preaching & Teaching Course
7,Introductions,"1410,1411","Preaching & Teaching: Introduction to the Proclamation Trust,Preaching and Teaching: Course Introduction",,"Sydserff, Robin",140,,,2014-11-26,adult,189,David Jackmans' Preaching & Teaching Course
8,"Oxygen 2014,Breakout Sessions","1803,1807,1816,1817,1818,1820,1821,1822","Oxygen 2014: Paul Tripp: Gospel Communication 101 - What Makes a Good Sermon Good? [Part II],Oxygen 2014: Paul Tripp: Dangerous Calling,Oxygen 2014: Bob Kauflin: Gathering Around the Gospel,Oxygen 2014: Bob Kauflin: Foundations for Worship,Oxygen 2014: Bryan Chapell: How People Change - Preaching for Redemptive Transformation,Oxygen 2014: Paul Tripp: Gospel Communication 101 - What Makes a Good Sermon Good? [Part I],Oxygen 2014: John Lennox: Suffering & the God Question,Oxygen 2014: Francis Chan: For Those Who Don't Enjoy Evangelism","Preaching and Teaching,Church Leadership,Preaching and Teaching;Church Life,Worship,Discipleship;Ministry,Apologetics;Suffering,Evangelism","Tripp, Paul,Kauflin, Bob,Chapell, Bryan,Lennox, John,Chan, Francis","157,154,155,108,156",,,2015-09-24,adult,260,Katoomba Christian Convention
9,"Oxygen 2014,Main Sessions","1804,1806,1808,1809,1810,1811,1812,1813,1814","Oxygen 2014: Don Carson: I am the Bread of Life,Oxygen 2014: Bryan Chapell: I am the Son of God,Oxygen 2014: Don Carson: I am the First and the Last,Oxygen 2014: Paul Tripp: I am the Light of the World,Oxygen 2014: John Lennox: I am the Way, the Truth and the Life,Oxygen 2014: Bryan Chapell: I am the Resurrection and the Life,Oxygen 2014: Francis Chan: I am the Good Shepherd,Oxygen 2014: John Lennox: The Word Became Flesh,Oxygen 2014: Francis Chan: I am the True Vine","Jesus' Second Coming;The Supremacy of Christ,Suffering,The Resurrection of Christ,Apologetics,Discipleship;Serving","Carson, Don,Chapell, Bryan,Tripp, Paul,Lennox, John,Chan, Francis","52,155,157,108,156","43,66","John,Revelation",2015-09-24,adult,260,Katoomba Christian Convention
