speakerID,speakerSurname,speakerFirstname
702,Johnston,Adam
202,Holloway,Adrian
345,Reynolds,Adrian
303,Russell,Adrian
500,Joseph,Aimee
71,Fernando,Ajith
395,Balogh,Akos
455,Gooderham,Al
101,Munden,Alan
647,Wilson,Alan
367,Witchalls,Alan
226,Paine,Alasdair
720,Gordon,Alastair
601,Roberts,Alastair
689,Mohler,Albert
498,Choi,Alex
707,Hitchcock,Alex
489,Jun,Alexander
319,Olwa,Alfred
380,Napier,Alison
64,Begg,Alistair
111,McGrath,Alister
512,McCluggage,Allen
369,Orr-Ewing,Amy
735,Wicks,Amy
98,Black,Amy E.
366,Trevenna,Andrea
343,Atherstone,Andrew
376,Barry,Andrew
305,Beddoe,Andrew
97,Dilnot,Andrew
250,Evans,Andrew
17,Giffen,Andrew
151,Heard,Andrew
461,Leslie,Andrew
634,Ollerton,Andrew
644,Patterson,Andrew
642,Pearson,Andrew
160,Reid,Andrew
338,Robson,Andrew
168,Sach,Andrew
739,Smith,Andrew
568,Acheson,Andy
362,Bannister,Andy
149,Gawn,Andy
263,Gemmill,Andy
403,Hobbs,Andy
526,Laws,Andy
335,Lines,Andy
275,Prime,Andy
641,Robinson,Andy
666,Wilson,Andy
356,Glyn,Aneirin
102,MacLeay,Angus
190,Benton,Anne
711,Zaki,Anne
176,Carter,Anthony
348,Barraclough,Antony
580,Cleasby,Arnold
409,Venkatachalam,Assumpta
126,Cooper,Barry
36,Manley-Pippert,Becky
133,Cadoux-Hudson,Ben
721,Cooper,Ben
147,Dean,Ben
698,Doolan,Ben
260,George,Ben
77,Kwashi,Ben
148,Pryke,Ben
669,Putt,Ben
640,Slee,Ben
569,Tanner,Ben
21,Witherington III,Ben
741,Cook,Benji
491,Jenkins,Bethany
199,Bygroves,Bill
142,Graham,Billy
333,Duncan,Bob
81,Fyall,Bob
154,Kauflin,Bob
635,White,Bob
629,Heath,Brandon
258,Johnson,Brent
488,McCracken,Brett
708,Murphey,Brett
134,Edwards,Brian
400,Burgess,Bruce
158,Ware,Bruce
155,Chapell,Bryan
184,Brown,Buster
203,Odede,Calisto
481,Cole,Cameron
646,Patterson,Campbell
300,Matthei,Carl
239,Cox,Caroline
306,Sandom,Carrie
318,Dodds,Caz
566,Evans,Caz
714,Wyatt,Celia
107,Price,Charles
80,Raven,Charles
255,Butler,Charlie
244,Skrine,Charlie
515,Tidd,Charlie
529,Cornes,Charlotte
553,Hespe,Charlotte
388,Bransdon,Chris
314,Chia,Chris
693,Houghton,Chris
645,Kho,Chris
673,Redfearn,Chris
592,Renezma,Chris
128,Sinkinson,Chris
283,Thomson,Chris
630,Tomlin,Chris
72,Wright,Chris
332,Mulimar,Christine Kintu
121,Ash,Christopher
727,Nockels,Christy
525,Smith,Claire
701,Williams,Claire
218,Heath-Whyte,Clare
186,Carnes,Cody
10,Bazley,Colin
381,Buchanan,Colin
502,Smith,Colin
636,Webster,Colin
725,Mbewe,Conrad
18,Detweiler,Craig
434,Foster,Craig
396,Hamilton,Craig
724,Roberts,Craig
377,Schafer,Craig
76,Keener,Craig S.
378,Tang,CS
552,Smith,Curtis
248,Hankey,Dai
96,Kuehne,Dale
63,Ralph Davis,Dale
510,Lee,Dan
360,McBride,Dan
534,Rackham,Dan
124,Strange,Dan
292,Wu,Dan
307,Treweek,Dani
501,Akin,Danny
451,Bemment,Dave
286,Cornes,Dave
104,Gobbett,Dave
587,Hampton,Dave
549,Hopper,Dave
506,Keun,Dave
207,Landrum,Dave
538,Miers,Dave
428,Moore,Dave
404,Allen,David
374,Brown,David
733,Capes,David
58,Cook,David
681,Flemming,David
695,Gibson,David
353,Hamilton,David
175,Helm,David
680,Höhne,David
2,Holloway,David
224,Instone Brewer,David
139,Jackman,David
418,Jones,David
536,Mathis,David
471,Murray,David
722,Peterson,David
127,Robertson,David
325,Short,David
462,Starling,David
414,Thurston,David
94,Westlake,David
112,Wilkinson,David
301,Williams,David
661,Haddon,Deitrick
265,Divyanathan,Denesh
205,Burnside,Derek
201,Tidball,Derek
690,Longberg,Diane
166,Dowsett,Dick
227,Lucas,Dick
222,Jongkind,Dirk
162,Steele,Dominic
52,Carson,Don
304,Guthrie,Donald
495,Thoennes,Donna
599,Murray,Douglas
421,Forbes,Duncan
517,Leese,Duncan
246,Brooks,Ed
243,Shaw,Ed
550,Springer,Ed
475,Chen,Eden
560,Buckle,Efrem
274,Duncan,Elaine
313,Storkey,Elaine
561,Acheson,Elfie
694,Cook,Ellidh
435,Tapolyai,Emőke
453,Harmer,Eric
484,Thoennes,Erik
174,Lutzer,Erwin
609,O'Reilly,Esther
532,Batten,Evan
638,Aremo,Felix
719,Bruce,Fiona
576,Digby,Fiona
156,Chan,Francis
441,Graham,Franklin
468,Sanders,Fred
737,Szarka,Gabor
363,Black,Gareth
639,Lewis,Gareth
454,Russell,Gareth
671,Williams,Garry
100,Burge,Gary
524,Hoag,Gary
386,Millar,Gary
329,Nelson,Gary
238,Williams,Gary J
632,Calver,Gavin
337,Wright,Gavin
505,Folland,Geoff
729,Diwakar,George
171,Robertson,George
152,Verwer,George
664,Joe,Gil
703,Bishaw,Girma
499,Joseph,G'Joe
282,Scrivener,Glen
438,Davies,Glenn
280,Lyons,Glenn
426,Kwashi,Gloria
206,Harrison,Glynn
26,Finlay,Graeme
565,Albans,Graham
55,Beynon,Graham
12,Daniels,Graham
25,Clarke,Greg
521,Morgan,Greg
440,Peisley,Greg
507,Powell,Greg
253,Strain,Greg
355,Davies,Gwilym
470,Charles,H B
717,Favarin,Hélder
254,Sneddon,Hamish
573,Keeble,Hannah
420,Dharamraj,Havilah
320,Zavala,Hector
651,Warnock,Helen
659,Walker,Hezekiah
342,Peskett,Howard
691,Isaacs,Hugh
24,Mackay,Hugh
46,Palmer,Hugh
4,Garrett,Ian
518,Lancaster,Ian
330,Palmer,Ian
240,Randall,Ian
650,Olofinjana,Israel
267,Poobalan,Ivor
397,Stace,Jackson
138,Belder,Jake
700,Hinton,Jake
235,Ballinger,James
216,Belham,James
712,Ewins,James
732,Galea,James
344,Hamilton,James
432,Hely Hutchinson,James
180,MacDonald,James
167,Poole,James
268,Robson,James
494,Goggin,Jamin
463,Tooher,Jane
284,Richard,Jared
682,Stephens,Jarrett
493,Holmes,Jasmine
110,Clarke,Jason
324,Mandryk,Jason
643,Roach,Jason
412,Behan,Jay
450,Gill,JB
516,Harris,Jen
492,Pollock Michel,Jen
433,Brown,Jenny
290,Salt,Jenny
339,Woodhouse,Jenny
86,McQuoid,Jeremy
469,Treat,Jeremy
373,Root,Jerry
445,Brouwer,Jessica
271,Turrent,Jim
649,Frost,Jo
555,Jackson,Joanna
13,Potter,Joe
486,Rigney,Joe
603,Behr,John
23,Dickson,John
