legacy_id,name
1993,BROWSE: LIVE STREAMS
1995,Holy Trinity Gateshead - 10.30am Services
1994,Jesmond Parish Church - 10.30am Services
1456,Jesmond Parish Church - 6.30pm Services
471,BROWSE: WEEKLY SERMONS
2056,Kids' Bible Talks
2057,This Month
2949,Series '26
2968,One-offs
2896,Series '25
2897,One-Offs
2843,Series '24 - Easter
2844,Easter '24
2845,One-offs
2601,"Series '23: Luke, Easter"
2649,Luke
2661,Easter '23
2774,Christmas '23
2602,One-offs
2483,"Series '22 - Deuteronomy, Easter, Christmas"
2484,Deuteronomy
2492,Easter '22
2594,Christmas '22
2551,One-offs
2217,"Series '21: Judges, Bible Overview, Easter, Matthew, 1 & 2 Samuel, Daniel, Mark, Luke"
2218,Judges 6-8 - Gideon: Mighty Warrior
2253,Bible Overview: World’s Most Wonderful Journey
2263,Easter '21
2270,Matthew 5: What a Disciple Looks Like
2289,1 & 2 Samuel: God's Chosen King
2303,Daniel 1-7: When the Going Gets Tough
2335,Mark: Life Changing Questions
2390,Luke: Parables
2224,One-Offs
2215,"Series '20: Job, Easter, Matthew, Nehemiah, Holiday Club, Hebrews, Esther, John, Christmas"
2058,Job: When Life is Tough
2059,Easter '20
2061,Matthew: Parables
2078,Nehemiah 1-8: A New Jerusalem
2080,Holiday Club Unlocked
2146,Hebrews: Don't Walk Away From Jesus
2172,Esther: God Keeps His Promises
2179,John: I AM
2191,Christmas
2060,One-Offs
2127,"Christ Church Newland, Hull"
2130,This Month
2950,Series '26
2957,One-offs
2898,Series '25: John
2899,John: Full of Grace and Truth
2931,"Jeremiah: The Majesty of God, the Misery of Sin & the Mystery of the Gospel"
2792,"Series '24: Revelation, John"
2817,Revelation: The Throne Room
2847,John: Full of Grace and Truth
2793,One-offs
2864,Leviticus: I Offer Up
2887,2 Peter: Know & Grow
2593,"Series '23: Titus, 1 Corinthians 13, Malachi, Psalms, John"
2614,Titus: Time To Tidy Up
2637,"1 Corinthians 13: Love, Love, Love"
2674,The Doctrines of Grace
2685,Malachi - Stoking The Fire
2731,Psalms: Christ Church Newland
2747,John: Full of Grace & Truth
2776,The Name Above All Names
2600,One-offs
2444,"Series '22: Joshua, 1,2 & 3 John, Psalms"
2446,Joshua: Breaking New Ground
2503,"1,2&3 John: Light and Love and Life"
2548,Summer Psalms
2554,Leviticus: I Offer Up
2487,One-offs
2203,"Series '21: 1 Peter, Acts, Luke, Overcoming"
2280,1 Peter: Stand Up and Stand Out
2243,Acts: Strengthened
2399,Luke: Tea With Teacher
2421,Overcoming
2225,One-Offs
2128,"Series '20 - Jonah, Acts, Christmas"
2133,Jonah: The Fish and the Vine
2150,Acts 1-8: Blast Off
2199,The Christmas Story
2194,One-offs
2956,This Month
20,"Jesmond Parish Church, Newcastle"
1061,This Month
2951,Series '26
2958,One-offs
2900,"Series '25: Work & Rest, Habakkuk"
2901,Work & Rest
2902,Habakkuk
2903,One-Offs
2795,"Series '24: Exodus, Galatians"
2797,Exodus - Out of Egypt
2799,Galatians - True Freedom
2801,One-offs
2585,"Series '23 - Psalms, Romans 5-6, Luke 18-19, Isaiah, Nehemiah, Acts, Revelation 21-22, Proverbs, Colossians, Luke 7-9"
2586,Psalms - Christ in the Psalms
2587,Romans 5-6 - Sure?
2631,Giving Review '23
2633,Luke - Living Under The Cross
2647,Isaiah - Easter in Isaiah
2664,Nehemiah - Building For God
2662,Acts - To The End of the Earth
2703,Matthew 19:1-12 - Jesus on Men and Women
2705,Revelation 21-22 - All Things New
2735,Proverbs - Get Wise
2739,Psalms: Songs From The Heart
2742,Colossians: The Complete Christian
2745,Luke 7-9: Jesus by Luke
2775,Christmas '23
2603,One-offs
2427,"Series '22 - Deuteronomy, Genesis, Easter, John, Philippians, Jude, Psalms, Malachi"
2429,Deuteronomy: Ten Commandments
2431,Genesis: The Life of Abraham
2485,Easter '22
2495,John
2496,Philippians
2508,Relationships (The Good Life)
2509,Jude - Can We Live As We Please?
2540,Psalms 62-67: Songs from the Heart
2544,Malachi: Return to Me
2555,Matthew - God: Up Close and Personal
2572,2 Timothy: Gospel Driven
2588,Christmas '22
2469,One-Offs
2205,"Series '21 - Romans, Genesis, Giving, Luke-Acts, Philippians, Joel, Question Time, Hebrews, Deuteronomy, 1 Thessalonians, Mark, Christmas '21"
2220,Romans 8: Salvation From Start to Finish
2236,Genesis 1-4: Answers From Creation
2245,Giving Back to God
2264,Easter
2265,Luke 24 - Acts 2: Easter to Pentecost
2272,Philippians: Finding Joy
2291,Joel: The God Who Restores
2330,Question Time
2332,Hebrews 11: Live By Faith
2387,Deuteronomy: Wholehearted
2391,Psalm 58-61 - God Our Refuge
2401,1 Thessalonians - Gospel Growth
2404,Mark: Cross Road
2424,Christmas '21
2226,One-Offs
1942,"Series '20 - Exodus, Giving, Coronavirus, Easter, 1 Corinthians 15, Revelation, Mark 1-2, Colossians 1, Issues, Psalm 119, Matthew, Genesis, 2 Corinthians, Ephesians, Luke 21, Christmas"
1945,Exodus 15-34: Being God's People
1984,Giving for the Glory of God
2033,Coronavirus
2031,Easter
2028,1 Corinthians 15: The Mystery of Resurrection
2027,Revelation: The Things That Must Take Place
2066,Mark 1-2: Following the King
2068,Colossians 1: The Riches of Christ
2089,Issues for Christians Today
2087,Psalm 119: A Heart for God
2131,Matthew 6-7: Real Christianity
2139,Genesis 37-50: Joseph & the Amazing Sovereignty of God
2154,2 Corinthians 4-5: Ambassadors for Christ
2157,Ephesians 4-6: How to Be Church
2177,Luke 21: Keeping the End in Sight
2171,Medical Services
2165,Autumn Special with Andy Bannister
2188,Christmas
1986,One-offs
1630,"Series '19 - Exodus, Giving, Easter, 1 John, Matthew 5-6, Psalms, Discipleship, IDENTITY,"
1633,Exodus 1-15: The Great Rescue
1652,Giving for the Glory of God
1669,Easter
1753,1 John: The Word of Life
1837,Matthew 5-6: The Sermon on the Mount
1858,Psalms 54-57: Songs from the Heart
1884,Discipleship Masterclass
1886,IDENTITY: What's Yours?
1657,One-offs
1419,"Series '18 - 2 Samuel, 1 Kings, Joyful Giving, Easter, 1 Peter, Matthew 5, Psalms, Real Lives, Christianity"
1600,"Real Lives, Real Hope Event"
1421,2 Samuel 22 - 1 Kings 2: A Man After God's Heart
1437,Joyful Giving
1461,Easter
1498,1 Peter: Standing Firm in a Hostile World
1542,Matthew 5: The Sermon on the Mount
1559,Psalms 49-53: Songs from the Heart
1602,Real Christianity
1450,One-offs
1226,"Series '17 - 2 Samuel, Provision, Easter, Love One Another, John, Psalms, Big Questions, Christian Life"
1239,2 Samuel 16-21: A Man after God's Heart
1262,God's Rich Provision
1279,Easter
1283,Love One Another
1324,John 16-17: Jesus Speaks
1362,Psalms 44-48: Songs from the Heart
1384,Big Questions Event
1391,The Christian Life
1228,One-offs
649,"Series '16 - 2 Samuel, 1 Timothy, John, Psalms, Godly Living"
1117,Godly Living
655,2 Samuel 9-12: A Man After God's Heart
654,The Gift of Generosity
653,Easter
652,1 Timothy: Fight the Good Fight
651,John 14-15: Jesus Speaks
650,Psalms 39-43: Songs from the Heart
657,One-offs
656,"Series '15 - 2 Samuel, Revelation, 2 Timothy, Psalms, Spirit-Filled Life"
683,2 Samuel 1-8: A Man After God's Heart
662,Treasures in Heaven (Giving)
684,Easter
682,Revelation 1-5: The Revelation of Jesus Christ
661,2 Timothy: Guard the Gospel
660,Psalms 34-38: Songs from the Heart
659,Spirit-Filled Life
658,One-offs
686,"Series '14 - 1 Samuel, Acts, James, Psalms, Christ-Centred Life"
687,1 Samuel 24-31: Looking on the Heart
688,Giving for Growth
689,Acts 25-28: To the Ends of the Earth
690,The End and the Beginning: Easter
691,James 3-5: Living Faith
692,Psalms 29-33: Songs from the Heart
693,Christ-Centred Life
695,One-offs
697,"Series '13 - 1 Samuel, Acts, James, Psalms, Believing and Belonging"
698,1 Samuel 17-23: Looking on the Heart
699,Giving Review: Attempt Great Things for God
700,Easter
701,Acts 20-24: To the Ends of the Earth
702,James 1-3: Living Faith
703,Psalms 24-28: Songs from the Heart
704,Believing and Belonging
705,One-offs
706,"Series '12 - 1 Samuel, Acts, Philippians, Psalms, Following Christ"
707,1 Samuel 9-16: Looking on the Heart
708,Expect Great Things from God (Giving)
709,Easter
710,Acts 17-19: To the Ends of the Earth
711,Philippians 3-4: Surprised by Joy
712,Psalms 19-23: Songs from the Heart
713,Following Christ
715,One-offs
716,"Series '11 - 1 Samuel, Acts, Philippians, Psalms, Discipleship"
717,1 Samuel 1-8: Looking on the Heart
718,An Outpouring of God's Blessing (Giving)
719,Acts 14-16: To the Ends of the Earth
721,Philippians 1-2: Surprised by Joy
722,Psalms 14-18: Songs from the Heart
723,Discipleship
725,One-offs
726,"Series '10 - Judges, Acts, Colossians, Psalms, Living Life to the Full"
727,Judges 10-21: Such a Great Salvation
885,The Grace of Giving
732,Colossians 3-4: The Letter to the Colossians
733,Psalms 9-13: Songs from the Heart
734,Living Life to the Full
736,One-offs
624,"Series '09 - Judges, Acts, Colossians, Psalms, Big Questions"
625,Judges 1-9: Such a Great Salvation
737,Giving that Pleases God
739,Acts 8-10: To the Ends of the Earth
738,Easter
740,Colossians 2: The Letter to the Colossians
741,Psalms 5-8: Songs from the Heart
742,The Big Questions
743,One-offs
2667,"St David's Forestville, Sydney"
2684,This Month
2952,Series '26
2959,One-offs
2967,Matthew 1-7 - King Jesus and His Kingdom
2973,Easter
2974,Genesis 1-24: God and His Promises
2904,Series '25
2907,Psalms
2915,John: That you may believe
2936,Ephesians: Our Identity in Jesus
2940,2 Samuel - The Lord's Anointed King
2946,Hebrews 1-7 - The Supremacy of Christ
2804,Series '24 -
2805,One-offs
2833,John 8-16 - That You May Believe
2883,1 Samuel: A King to Lead Us
2905,Christmas
2669,"Series '23 - John, 1 Corinthians, Esther"
2678,John 1-7- That You May Believe
2681,1 Corinthians 1-7 - True Wisdom
2700,Christian Maturity
2728,Esther - For Such A Time As This
2749,Lamentations - Enduring Darkness
2762,Colossians - For God's Glory
2788,Christmas at St David's
2701,One-offs
1604,"St Helen's Bishopsgate, London"
1606,This Month
2953,Series '26
2960,One-offs
2962,James: Single Minded Faith
2963,Matthew: The Beautiful Kingdom
2964,John: A Defining Moment
2965,1 Kings: A Life-Giving Word
2966,1 Kings: God’s National Renewal Plan
2970,Daniel: Only One King
2971,1 Thessalonians: Discipleship 101
2972,Easter
2975,Psalms: Prayerfulness
2912,Series '25
2913,Exodus: Transforming Grace
2914,Exodus: Wholehearted
2917,Micah: Who is a God like you?
2918,Genesis: Unstoppable Blessings
2919,Matthew: The Cross of Christ
2920,Philippians: The Partnership
2922,Mark: Fearless
2923,2 Chronicles: Wholehearted
2924,Romans: Transforming Grace
2925,Genesis: The Day of the LORD
2927,Matthew: The Church of Christ
2928,Matthew: God's True King
2929,Ruth: From Bitterness to Blessing
2930,Hosea: Knowing the Heart of God
2932,One-Offs
2933,Isaiah: The Heart of God's Plan
2935,Colossians: The Supremacy of Christ
2937,Isaiah: None Like Him
2938,Jeremiah: The New Covenant
2939,Isaiah: Ready for the Outside
2941,Luke: The Saviour’s manifesto
2942,John: See the Saviour
2943,Genesis: Key stage one
2944,Psalms: Sing to the LORD
2945,"Luke: Hallelujah, what a Saviour!"
2806,"Series '24: Matthew, Judges, Daniel, John, 1 Thessalonians,"
2814,Hell—From The Lips of Jesus
2807,One-offs
2829,Judges - Search for a saviour
2830,Daniel - Your Kingdom Come
2832,John - Guaranteed satisfaction in a world of disappointment
2837,1 Thessalonians: God's Blueprint for authentic lide
2839,1 Thessalonians: Rooted and Standing
2850,Matthew - The King will return—ready or not?
2856,1 Timothy - God's House Rules
2863,Matthew: Truth to Power
2867,Luke: Who runs the world?
2875,Revelation: When your boss asks you to conquer the world
2877,Hebrews: Awesome worship every day
2881,Ruth: Kindness Changed the World
2890,"Matthew: Global problems, God’s solution"
2892,Luke: Behold Him Come
2894,Galatians: Gospel Freedom
2596,"Series '23: 1 Samuel, Matthew, Ezekiel, Philippians, Acts"
2618,1 Samuel: God's King Rising
2624,Matthew: A Beautiful Life
2640,Responses to the Living in Love and Faith Report
2651,Ezekiel: A Fresh Start
2691,Philippians: Passing The Baton On
2726,"Tough Questions, Life–Changing Answers"
2753,Acts: The Gospel Unchained
2604,One-offs
2434,"Series '22 - Matthew, 1 Corinthians, 1 John"
2436,Matthew: This Universe -The Final Chapter
2476,1 Corinthians: The World Is Not Enough
2557,Knowing God
2569,"1,2 & 3 John: The Real Thing"
2478,One-offs
2212,"Series '21: To Dust You Shall Return, 2 Timothy, Christianity 101, Hebrews, Psalms, Luke"
2274,To Dust you Shall Return: What Hope for Humanity?
2238,2 Timothy: Gospel Courage
2318,Christianity 101
2302,"Hebrews 12: Eyes Fixed, Lives Changed"
2382,Psalms: Pilgrim Psalms
2396,Luke: Firm Foundations For the Confident Christian
2259,One-offs
1946,"Series '20 - Luke, Ezekiel"
2148,Growth Conditions
2110,In the Name of the Father
2024,Ezekiel: Out of the Ashes
1948,Luke: Narrow Door - Mass Entry
2011,One-offs
1645,"Series '19 - Luke, Isaiah, John, Exodus, Mark, 2 Corinthians, 1 Kings, Psalms, Genesis"
1646,Luke: Kingdom Come
1676,Isaiah: The Power of Meekness
1700,John: Easter
1763,Exodus: The Gracious & Compassionate God
1771,Mark: The Jesus I Never Imagined Event
1799,2 Corinthians: Ministry Appraisal
1821,1 Kings: Can We Push God too Far?
1854,Psalms: Relating to God in Hard Times
1874,Genesis: Like God?
1852,One-offs
1607,Series '18 - Philippians
1609,Philippians: Citizen Soldiers
1626,Christmas
223,"Village Church Annandale, Sydney"
1043,This Month
2954,Series '26
2961,One-offs
2909,Series '25
2808,Series '24:
2821,Relate
2809,One-offs
2852,2 Peter
2859,Isaiah - The gospel of Isaiah
2598,"Series '23 - Matthew, Romans, Gender & Marriage"
2627,Matthew
2676,Romans
2693,"Gender, Marriage, Singleness, and Divorce 2023"
2733,2 Samuel
2757,Philippians
2760,Core Beliefs
2605,One-offs
2438,"Series '22 - Matthew, Romans, Exodus, Titus"
2471,Matthew: The Heart of the Matter
2499,Romans: Powerful Salvation
2524,Exodus: The Great Rescue
2579,Titus
2493,One-offs
2208,"Series '21: Galatians, Colossians, Mark, Sexuality, 2 Samuel, John, Ephesians"
2276,Galatians: Freedom in Christ
2241,Mark: Jesus in Jerusalem
2213,Colossians: Walking Worthy of the Lord
2317,Holy Sexuality
2374,2 Samuel: God's True King
2393,John: That You May Believe
2411,Ephesians: To The Praise of His Glory
2229,One-Offs
1937,"Series '20: Mark, Revelation, Covid19, Matthew, James, Job, Colossians"
2185,Luke: Preparing for the King
2167,Colossians: Walking Worthy of the Lord
2083,Job: Things Too Wondrous To Know
2035,James: Mercy Shaped Faith
2002,Matthew: Easter
2000,A Response to COVID-19
1973,Mark: Who Is This?
1951,Revelation: The Amazing Vision of Jesus
1939,One-offs
1635,"Series '19 - Questions, John, 1 Peter, Easter, 2 Corinthians, Hosea, Luke, Relationships"
1636,Questions for God
1655,John: Pray Like Jesus
1665,1 Peter: Living as Holy Exiles
1694,Easter
1696,2 Corinthians: Strength in Weakness
1770,Matthew: Follow Me & Fish
1795,Hosea: Surprising Compassion
1840,Luke: Heaven & Hell
1850,The Unknown Jesus
1861,Relationships
1889,Village Vision 2020
1880,One-offs
1428,"Series '18: John, 1 & 2 Corinthians, Acts, Ecclesiastes, Matthew, 1 & 2 Samuel"
1431,John: The Night Before He Died
1463,1 Corinthians: True Wisdom in Our Foolish World
1505,Ecclesiastes: Nothing New
1495,Acts: Unstoppable
1494,Easter and Christmas
1561,Matthew: Straight Talk from Jesus
1573,1 & 2 Samuel: God's Anointed King
1617,2 Corinthians: Grace & People for His Glory
1244,"Series '17 - Luke, Acts, Serving Two Masters, John, Sexuality, Glory"
1246,Luke: The Search for the God Man
1260,Acts: Unstoppable Gospel
1273,Serving Two Masters
